request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
59,BasicRequest,1,27720,27720,11130;-1;-1,2944;-1;-1,,,,,9413.675201326001,215533.12500000006,0:,,,,,,,,0
2667,BasicRequest,1,27780,27780,4753;-1;-1,2944;-1;-1,,,,,3824.7815791041467,85981.90600000002,0:,,,,,,,,0
1991,BasicRequest,1,27840,27840,10232;-1;-1,2944;-1;-1,,,,,2200.7123993044484,39602.398,0:,,,,,,,,0
2867,BasicRequest,1,27840,27840,4917;-1;-1,2944;-1;-1,,,,,1912.7085423299754,41264.599,0:,,,,,,,,0
2173,BasicRequest,1,27840,27840,6603;-1;-1,2944;-1;-1,,,,,1357.2505550486105,26402.429,0:,,,,,,,,0
85,BasicRequest,1,27840,27840,9596;-1;-1,2944;-1;-1,,,,,1369.74343588103,28280.190000000002,0:,,,,,,,,0
2227,BasicRequest,1,27840,27840,6606;-1;-1,2944;-1;-1,,,,,1248.447962063315,22626.904,0:,,,,,,,,0
2789,BasicRequest,1,27840,27840,4894;-1;-1,2944;-1;-1,,,,,1239.880068256095,22319.216999999997,0:,,,,,,,,0
377,BasicRequest,1,27840,27840,3007;-1;-1,2944;-1;-1,,,,,202.89709096773998,2855.8479999999995,0:t_wait:181.33594534807344;t_drive:232.89709096774095;fare:285,,,0,10,28021.33594534807,28254.233036315807,285,0
1,BasicRequest,1,28620,28620,7068;-1;-1,2944;-1;-1,,,,,6302.8168805944915,129135.82999999999,0:,,,,,,,,0
2727,BasicRequest,1,28680,28680,12127;-1;-1,2944;-1;-1,,,,,4202.746489280154,93701.23200000002,0:,,,,,,,,0
323,BasicRequest,1,28680,28680,11298;-1;-1,2944;-1;-1,,,,,3650.7362038879373,71588.307,0:,,,,,,,,0
2645,BasicRequest,1,28740,28740,10576;-1;-1,2944;-1;-1,,,,,3332.06180971664,64783.433,0:,,,,,,,,0
127,BasicRequest,1,28740,28740,9601;-1;-1,2944;-1;-1,,,,,2467.907750036363,47917.125,0:,,,,,,,,0
2489,BasicRequest,1,28740,28740,11861;-1;-1,2944;-1;-1,,,,,2628.7096985767776,58987.99100000001,0:,,,,,,,,0
1829,BasicRequest,1,28740,28740,3148;-1;-1,2944;-1;-1,,,,,2259.7200744512675,51121.64,0:,,,,,,,,0
1851,BasicRequest,1,28740,28740,3171;-1;-1,2944;-1;-1,,,,,2077.248750078596,41268.163,0:,,,,,,,,0
2889,BasicRequest,1,28740,28740,4807;-1;-1,2944;-1;-1,,,,,1845.4694829628374,42926.090000000004,0:,,,,,,,,0
1903,BasicRequest,1,28740,28740,9175;-1;-1,2944;-1;-1,,,,,1787.8748732920003,36416.31400000001,0:,,,,,,,,0
2387,BasicRequest,1,28740,28740,10340;-1;-1,2944;-1;-1,,,,,1493.6267378468517,30799.188000000002,0:,,,,,,,,0
2115,BasicRequest,1,28740,28740,7003;-1;-1,2944;-1;-1,,,,,1256.8505773708016,22773.595999999998,0:,,,,,,,,0
1337,BasicRequest,1,27840,27840,3014;-1;-1,2944;-1;-1,,,,,515.5209331182366,8484.258,0:t_wait:516.6024678743779;t_drive:545.5209331182377;fare:848,,,0,15,28356.602467874378,28948.37336480688,848,0
583,BasicRequest,1,27840,27840,3042;-1;-1,2944;-1;-1,,,,,222.23758763526882,3642.5239999999994,0:t_wait:856.1357771716102;t_drive:252.23758763526712;fare:364,,,0,15,28696.135777171614,28948.37336480688,364,0
1747,BasicRequest,1,27840,27840,2967;-1;-1,2944;-1;-1,,,,,566.7748615940052,9249.51,0:t_wait:580.4533852657623;t_drive:596.7748615940036;fare:924,,,0,12,28420.453385265762,29079.458253035464,924,0
893,BasicRequest,1,27840,27840,6828;-1;-1,2944;-1;-1,,,,,451.2629379925437,5942.573,0:t_wait:758.1953150429217;t_drive:481.262937992542;fare:594,,,0,12,28598.19531504292,29079.458253035464,594,0
895,BasicRequest,1,27840,27840,6828;-1;-1,2944;-1;-1,,,,,451.2629379925437,5942.573,0:t_wait:758.1953150429217;t_drive:481.262937992542;fare:594,,,0,12,28598.19531504292,29079.458253035464,594,0
909,BasicRequest,1,27840,27840,6828;-1;-1,2944;-1;-1,,,,,451.2629379925437,5942.573,0:t_wait:758.1953150429217;t_drive:481.262937992542;fare:594,,,0,12,28598.19531504292,29079.458253035464,594,0
